Port_IDs,Total_PnL,Win_Positions,Total_Positions,Win_Rate,Avg_PnL_per_Trade,Consistency_Score
3.768170840939477e+18,2.48987241,1,1,100.0,2.48987241,2.48987241
3.788465932399412e+18,1.04890233,1,1,100.0,1.04890233,1.04890233
3.8798210056586593e+18,2.90964199,1,1,100.0,2.90964199,2.90964199
3.887577207880439e+18,27.94853595,1,1,100.0,27.94853595,27.94853595
3.8910205605906575e+18,13.85968547,1,1,100.0,13.85968547,13.85968547
3.9108872598077773e+18,7.70667624,1,1,100.0,7.70667624,7.70667624
3.9146542985625897e+18,2.03333103,1,1,100.0,2.03333103,2.03333103
3.932103299427844e+18,23.07269042,1,1,100.0,23.07269042,23.07269042
3.9364109950293084e+18,52.01713678,1,1,100.0,52.01713678,52.01713678
3.939318616482049e+18,7.71481624,1,1,100.0,7.71481624,7.71481624
3.9442396441442314e+18,1.04521233,1,1,100.0,1.04521233,1.04521233
3.9560768277193774e+18,6.93409156,1,1,100.0,6.93409156,6.93409156
3.9608742141799537e+18,1.15383467,1,1,100.0,1.15383467,1.15383467
3.966142151544442e+18,7.70667624,1,1,100.0,7.70667624,7.70667624
3.977116548751698e+18,3.2439778,1,1,100.0,3.2439778,3.2439778
3.9818102424659077e+18,5.15318504,1,1,100.0,5.15318504,5.15318504
3.9830741138756925e+18,23.25321516,1,1,100.0,23.25321516,23.25321516
3.9868146172750536e+18,0.69762822,1,1,100.0,0.69762822,0.69762822
3.9914147861745516e+18,15.40388482,1,1,100.0,15.40388482,15.40388482
3.993014919980212e+18,23.69415308,1,1,100.0,23.69415308,23.69415308
3.9985726451396526e+18,1.04521233,1,1,100.0,1.04521233,1.04521233
3.9986594721319496e+18,0.1236862,1,1,100.0,0.1236862,0.1236862
4.0002227297386506e+18,0.14210755,1,1,100.0,0.14210755,0.14210755
4.000877324693234e+18,7.71481624,1,1,100.0,7.71481624,7.71481624
4.004410127575641e+18,0.81507886,1,1,100.0,0.81507886,0.81507886
4.0063662951483914e+18,1.15627467,1,1,100.0,1.15627467,1.15627467
4.0085372964387e+18,15.38761482,1,1,100.0,15.38761482,15.38761482
4.0116269726870006e+18,1.33256281,1,1,100.0,1.33256281,1.33256281
4.012994295026226e+18,1.15383467,1,1,100.0,1.15383467,1.15383467
4.014818740371615e+18,0.60228965,1,1,100.0,0.60228965,0.60228965
4.0171102777191485e+18,1.04767233,1,1,100.0,1.04767233,1.04767233
4.0198954127754506e+18,27.09690102,1,1,100.0,27.09690102,27.09690102
4.02124344836889e+18,0.81507886,1,1,100.0,0.81507886,0.81507886
4.021669203289716e+18,23.19861516,1,1,100.0,23.19861516,23.19861516
4.023697433751327e+18,4.707269,1,1,100.0,4.707269,4.707269
4.0236978813187185e+18,6.92593156,1,1,100.0,6.92593156,6.92593156
4.026179081117856e+18,6.95041156,1,1,100.0,6.95041156,6.95041156
4.028701921959172e+18,4.72850215,1,1,100.0,4.72850215,4.72850215
4.0292991906181345e+18,0.97838104,1,1,100.0,0.97838104,0.97838104
4.0294228340866273e+18,13.87599547,1,1,100.0,13.87599547,13.87599547
4.0295069713048305e+18,4.60493706,1,1,100.0,4.60493706,4.60493706
4.0305554301010545e+18,20.24823373,1,1,100.0,20.24823373,20.24823373
4.030565764341697e+18,2.45871409,1,1,100.0,2.45871409,2.45871409
4.0306260276675246e+18,4.51136674,1,1,100.0,4.51136674,4.51136674
4.0311739089800847e+18,6.93409156,1,1,100.0,6.93409156,6.93409156
4.031414524297539e+18,11.28966645,1,1,100.0,11.28966645,11.28966645
4.0314515494826153e+18,6.94225156,1,1,100.0,6.94225156,6.94225156
4.0336147234178284e+18,14.65937491,1,1,100.0,14.65937491,14.65937491
4.0336397869579346e+18,6.94225156,1,1,100.0,6.94225156,6.94225156
4.0347866793047516e+18,2.45871409,1,1,100.0,2.45871409,2.45871409
4.035430878731346e+18,10.35747605,1,1,100.0,10.35747605,10.35747605
4.036548677626663e+18,6.95041156,1,1,100.0,6.95041156,6.95041156
4.037179073830813e+18,10.91826574,1,1,100.0,10.91826574,10.91826574
4.0372824619437844e+18,0.77552822,1,1,100.0,0.77552822,0.77552822
4.040843843196855e+18,24.19934211,1,1,100.0,24.19934211,24.19934211
4.0418045929373455e+18,17.82408858,1,1,100.0,17.82408858,17.82408858
